filter_id,variant,expression,layman_explanation,stat,source
01F183,ones,"sum(1 for d in combo_digits if d in {2,3,5,7}) >= 4 and winner_structure == 5",Eliminate if ( AND (sum(1 for d in  is ≥ 4 AND winner value_structure equals 5),26/311,keeper
0F001,ones,winner == 1,Eliminate if ( AND (winner value equals 1),0/311,keeper
0F062,ones,winner % 10 == 6,Eliminate if ( AND (winner value % 10 equals 6),33/311,keeper
0F064,ones,winner % 10 == 5,Eliminate if ( AND (winner value % 10 equals 5),25/311,keeper
0F065,ones,winner % 10 == 4,Eliminate if ( AND (winner value % 10 equals 4),28/311,keeper
0F204,ones,max(combo_digits) - min(combo_digits) <4 and winner_structure == 5,Eliminate if ( AND (max( - min( is <4 AND winner value_structure equals 5),0/311,keeper
0F207,ones,winner >40,Eliminate if ( AND (winner value is >40),0/311,keeper
0F235,ones,winner==45 and seed<30,Eliminate if ( AND (winner valueequals45 AND seed valueis <30),0/311,keeper
0F236,ones,winner==44 and seed<30,Eliminate if ( AND (winner valueequals44 AND seed valueis <30),0/311,keeper
0F237,ones,winner==43 and seed<30,Eliminate if ( AND (winner valueequals43 AND seed valueis <30),0/311,keeper
0F238,ones,winner==42 and seed<30,Eliminate if ( AND (winner valueequals42 AND seed valueis <30),0/311,keeper
0F239,ones,winner==41 and seed<30,Eliminate if ( AND (winner valueequals41 AND seed valueis <30),0/311,keeper
0F240,ones,winner==5,Eliminate if ( AND (winner valueequals5),0/311,keeper
0F242,ones,winner==3,Eliminate if ( AND (winner valueequals3),0/311,keeper
0F243,ones,winner==2,Eliminate if ( AND (winner valueequals2),0/311,keeper
0F298,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <14 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <14 AND winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
0F299,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <13and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <13and winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
0F300,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <12 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <12 AND winner value_structure equals 5 AND winner value_structure equals 5),5/311,keeper
