filter_id,variant,expression,layman_explanation,stat,source
3,5,7}) >= 4 and winner_structure == 5,Eliminate if the combination meets: the combo contains 4+ prime digits and is a 5-of-a-kind (quint),26/311,keeper
Eliminate if the combination meets: if the combo equals 1,0/311,keeper,,,
Eliminate if the combination meets:if the combo ends with 6,33/311,keeper,,,
Eliminate if the combination meets: if the combo ends with 5,25/311,keeper,,,
Eliminate if the combination meets: if the combo ends with 4,28/311,keeper,,,
"Eliminate if the combination meets: if the digit range is under 4 and the combo is a quint""",0/311,keeper,,,
Eliminate if the combination meets: winner >40,0/311,keeper,,,
Eliminate if the combination meets: winner==45 and seed<30,0/311,keeper,,,
Eliminate if the combination meets: winner==44 and seed<30,0/311,keeper,,,
Eliminate if the combination meets: winner==43 and seed<30,0/311,keeper,,,
Eliminate if the combination meets: winner=42 and seed<30,0/311,keeper,,,
Eliminate if the combination meets: combo is 41 and the previous draw is less than 30,0/311,keeper,,,
Eliminate if the combination meets: winner=5,0/311,keeper,,,
Eliminate if the combination meets: winner==3,0/311,keeper,,,
Eliminate if the combination meets: winner==2,0/311,keeper,,,
"Eliminate if the combination meets: if all 5 digits match the previous draw, total < 14, and the combo is a quint",7/311,keeper,,,
Eliminate if the combination meets: if all 5 digits match the previous draw, total <13,and the combo is a quint,7/311,keeper,
Eliminate if the combination meets: if all 5 digits match the previous draw, total <12,and the combo is a quint,5/311,keeper,
Eliminate if the combination meets: if all 5 digits match the previous draw, total <11,and the combo is a quint,4/311,keeper,
Eliminate if the combination meets: Eliminate if all 5 digits match the previous draw, total <10,and the combo is a quint,3/311,keeper,
Eliminate if the combination shares exactly 1 digits with the seed.,0/311,keeper,,,
Eliminate if the combination meets: winner == 2,0/311,keeper,,,
Eliminate if the combination meets: winner == 3,0/311,keeper,,,
Eliminate if the combination has exactly 1 odd digits.,3/311,keeper,,,
Eliminate if the combination meets: winner < 6,0/311,keeper,,,
Eliminate if the combination has exactly 2 odd digits.,15/311,keeper,,,
Eliminate if the combination meets: winner > 42,0/311,keeper,,,
