id,name,applicable,eliminated,elim_rate
0F001_ONES,Eliminate combos where combo sum equals 1 [ones-adapted],154,154,1.0
NO4F002_ONES,"XXXIf seed includes 4,5,6,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO2F003_ONES,"If seed includes 1,2,4,7 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO2F004_ONES,"If seed includes 1,2,6,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO3F005_ONES,"If seed includes 5,7,8,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO3F006_ONES,"If seed includes 4,6,7,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO4F007_ONES,"xxxIf seed includes 4,5,6,7 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO2F008_ONES,"If seed includes 3,6,7,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO2F009_ONES,"If seed includes 2,5,8,9 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO3F010_ONES,"xxxIf seed includes 3,4,5,8 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO10F011_ONES,"If seed includes 2,3,6,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO6F012_ONES,"If seed includes 1,3,6,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO11F013_ONES,"xxxIf seed includes 1,3,4,9 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO9F014_ONES,"xxIf seed includes 0,5,7,9 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO12F015_ONES,"If seed includes 0,3,4,7 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO7F016_ONES,"xxIf seed includes 3,5,7,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO9F017_ONES,"If seed includes 2,4,5,7 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO10F018_ONES,"NOOOIf seed includes 1,2,6,7 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO9F019_ONES,"xxIf seed includes 1,2,4,6 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO5F020_ONES,"If seed includes 1,4,5,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO6F021_ONES,"xxIf seed includes 0,5,6,7 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO11F022_ONES,"xIf seed includes 1,5,6,9 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO8F023_ONES,"xxIf seed includes 0,1,5,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO6F024_ONES,"nooooIf seed includes 0,3,6,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO10F025_ONES,"xxIf seed includes 1,2,5,7 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO9F026_ONES,"xxIf seed includes 0,1,2,4 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO5F027_ONES,"nooooIf seed includes 0,1,7,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO7F028_ONES,"noooIf seed includes 2,5,6,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO8F029_ONES,"If seed includes 0,1,5,8 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO10F030_ONES,"If seed includes 2,3,4,5 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO8F031_ONES,"If seed includes 0,4,5,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO7F032_ONES,"nooooIf seed includes 2,5,6,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO10F033_ONES,"If seed includes 1,2,6,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO6F034_ONES,"If seed includes 0,5,8,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO9F035_ONES,"xxIf seed includes 0,1,3,5 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO5F036_ONES,"noooIf seed includes 0,2,6,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO11F037_ONES,"If seed includes 2,3,7,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO12F038_ONES,"xxIf seed includes 1,3,7,8 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO9F039_ONES,"noooIf seed includes 2,3,5,7 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO10F040_ONES,"xxIf seed includes 1,2,3,4 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO12F041_ONES,"xxIf seed includes 0,3,5,8 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO0F042_ONES,"noooIf seed includes 0,2,3,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO4F043_ONES,"xxIf seed includes 3,4,5,9 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
NO11F044_ONES,"If seed includes 1,3,6,7 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO5F045_ONES,"xxIf seed includes 1,2,3,6 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO8F046_ONES,"If seed includes 4,6,8,9 eliminate all even-sum combos [ones-adapted]",154,154,1.0
NO4F047_ONES,"If seed includes 0,2,7,9 eliminate all odd-sum combos [ones-adapted]",154,154,1.0
